dataelementUID,period,orgUnitUID,categoryOptionComboUID,ImplementingMechanismUID,dataValue,,
VnTcloxnbDY,201809,UZlFjPJGpjz,fp5lDb6VDKl,VRVkk5IJ5H0,0,,
VnTcloxnbDY,201809,UZlFjPJGpjz,QXlvFE1TwWE,VRVkk5IJ5H0,0,,
VnTcloxnbDY,201809,UZlFjPJGpjz,hME9Aib5Nt2,VRVkk5IJ5H0,0,,
VnTcloxnbDY,201809,UZlFjPJGpjz,XihRuQ4OzK7,VRVkk5IJ5H0,5,,
VnTcloxnbDY,201809,UZlFjPJGpjz,kvpYWIAxU3M,VRVkk5IJ5H0,2,,
VnTcloxnbDY,201809,UZlFjPJGpjz,Yoro0PHctSt,VRVkk5IJ5H0,2,,
VnTcloxnbDY,201809,UZlFjPJGpjz,urNcxdgKV4E,VRVkk5IJ5H0,0,,
VnTcloxnbDY,201809,UZlFjPJGpjz,mNs2cFcR4Kx,VRVkk5IJ5H0,0,,
VnTcloxnbDY,201809,UZlFjPJGpjz,btv8socpQpp,VRVkk5IJ5H0,0,,
GVG50NqJ6R6,201809,UZlFjPJGpjz,janXJcbnVhV,VRVkk5IJ5H0,0,,
GVG50NqJ6R6,201809,UZlFjPJGpjz,uv5bz3PhcNC,VRVkk5IJ5H0,0,,
GVG50NqJ6R6,201809,UZlFjPJGpjz,fp5lDb6VDKl,VRVkk5IJ5H0,0,,
GVG50NqJ6R6,201809,UZlFjPJGpjz,QXlvFE1TwWE,VRVkk5IJ5H0,0,,
GVG50NqJ6R6,201809,UZlFjPJGpjz,hME9Aib5Nt2,VRVkk5IJ5H0,2,,
GVG50NqJ6R6,201809,UZlFjPJGpjz,XihRuQ4OzK7,VRVkk5IJ5H0,6,,
GVG50NqJ6R6,201809,UZlFjPJGpjz,kvpYWIAxU3M,VRVkk5IJ5H0,13,,
GVG50NqJ6R6,201809,UZlFjPJGpjz,Yoro0PHctSt,VRVkk5IJ5H0,12,,
GVG50NqJ6R6,201809,UZlFjPJGpjz,urNcxdgKV4E,VRVkk5IJ5H0,6,,
GVG50NqJ6R6,201809,UZlFjPJGpjz,mNs2cFcR4Kx,VRVkk5IJ5H0,2,,
GVG50NqJ6R6,201809,UZlFjPJGpjz,btv8socpQpp,VRVkk5IJ5H0,0,,
jsxF5LcRSEw,201809,UZlFjPJGpjz,janXJcbnVhV,VRVkk5IJ5H0,0,,
jsxF5LcRSEw,201809,UZlFjPJGpjz,uv5bz3PhcNC,VRVkk5IJ5H0,0,,
jsxF5LcRSEw,201809,UZlFjPJGpjz,fp5lDb6VDKl,VRVkk5IJ5H0,0,,
jsxF5LcRSEw,201809,UZlFjPJGpjz,QXlvFE1TwWE,VRVkk5IJ5H0,0,,
jsxF5LcRSEw,201809,UZlFjPJGpjz,hME9Aib5Nt2,VRVkk5IJ5H0,0,,
jsxF5LcRSEw,201809,UZlFjPJGpjz,XihRuQ4OzK7,VRVkk5IJ5H0,5,,
jsxF5LcRSEw,201809,UZlFjPJGpjz,kvpYWIAxU3M,VRVkk5IJ5H0,2,,
jsxF5LcRSEw,201809,UZlFjPJGpjz,Yoro0PHctSt,VRVkk5IJ5H0,2,,
jsxF5LcRSEw,201809,UZlFjPJGpjz,urNcxdgKV4E,VRVkk5IJ5H0,0,,
jsxF5LcRSEw,201809,UZlFjPJGpjz,mNs2cFcR4Kx,VRVkk5IJ5H0,0,,
jsxF5LcRSEw,201809,UZlFjPJGpjz,btv8socpQpp,VRVkk5IJ5H0,0,,
jJPO8gpmdBM,201809,UZlFjPJGpjz,janXJcbnVhV,VRVkk5IJ5H0,0,,
jJPO8gpmdBM,201809,UZlFjPJGpjz,uv5bz3PhcNC,VRVkk5IJ5H0,0,,
jJPO8gpmdBM,201809,UZlFjPJGpjz,fp5lDb6VDKl,VRVkk5IJ5H0,0,,
jJPO8gpmdBM,201809,UZlFjPJGpjz,QXlvFE1TwWE,VRVkk5IJ5H0,2,,
jJPO8gpmdBM,201809,UZlFjPJGpjz,hME9Aib5Nt2,VRVkk5IJ5H0,75,,
jJPO8gpmdBM,201809,UZlFjPJGpjz,XihRuQ4OzK7,VRVkk5IJ5H0,183,,
jJPO8gpmdBM,201809,UZlFjPJGpjz,kvpYWIAxU3M,VRVkk5IJ5H0,161,,
jJPO8gpmdBM,201809,UZlFjPJGpjz,Yoro0PHctSt,VRVkk5IJ5H0,61,,
jJPO8gpmdBM,201809,UZlFjPJGpjz,urNcxdgKV4E,VRVkk5IJ5H0,28,,
jJPO8gpmdBM,201809,UZlFjPJGpjz,mNs2cFcR4Kx,VRVkk5IJ5H0,3,,
jJPO8gpmdBM,201809,UZlFjPJGpjz,btv8socpQpp,VRVkk5IJ5H0,0,,
LyJ02aHyf2T,201809,UZlFjPJGpjz,janXJcbnVhV,VRVkk5IJ5H0,0,,
LyJ02aHyf2T,201809,UZlFjPJGpjz,uv5bz3PhcNC,VRVkk5IJ5H0,0,,
LyJ02aHyf2T,201809,UZlFjPJGpjz,fp5lDb6VDKl,VRVkk5IJ5H0,0,,
